YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201808,130479,780978,2,3.01,"SSW","JACKSONVILLE",30.31,-81.69,3018600,8141400
201808,130479,780978,3,2.08,"SSW","JACKSONVILLE",30.3238,-81.6871,3019428,8141226
201808,130479,780978,4,2.64,"SSW","LAKE FOREST",30.3158,-81.6497,3018948,8138982
201808,130476,782301,4,1.52,"NW","WEST AUBURN",41.7437,-76.1232,4144622,767392
201808,130476,782300,3,1,"SSE","DIMOCK",41.7361,-75.8946,4144166,7553676
201808,130476,782300,4,1.67,"SSE","DIMOCK",41.7267,-75.8913,4143602,7553478
201808,130476,782301,1,1.79,"SSE","RUSHVILLE",41.7551,-76.1208,4145306,767248
201808,130476,782301,2,1.8,"SSE","RUSHVILLE",41.7562,-76.116,4145372,766960
201808,130477,780975,1,0,"N","FRUIT COVE",30.1,-81.63,306000,8137800
201808,130478,780976,1,10.8,"SSW","BEVERLY BEACH",29.48,-81.21,2928800,8112600
201808,130480,780979,1,3.04,"WSW","HICKOX",31.14,-82.05,318400,823000
201808,130478,780977,1,12.79,"NNW","SAUF1 CMAN",30.03,-81.32,301800,8119200
201808,130479,780978,1,2.83,"SSE","JACKSONVILLE",30.31,-81.66,3018600,8139600
201808,127159,762095,1,.76,"SW","WALTERSVILLE",37.8619,-83.9395,3751714,8356370
201808,127159,762095,2,.74,"SW","WALTERSVILLE",37.8621,-83.939,3751726,8356340
201808,127159,762095,3,.75,"SW","WALTERSVILLE",37.8617,-83.9389,3751702,8356334
201808,130476,782301,3,1.19,"NNW","WEST AUBURN",41.7448,-76.112,4144688,766720
201804,125150,750547,1,4.63,"NW","KREAMER ISLAND",26.82,-80.78,2649200,8046800
201804,125150,750549,1,1.51,"SSE","JUPITER INLET",26.91,-80.07,2654600,804200
201804,125150,750550,1,10.93,"NE","ELLIOT KEY",25.58,-80.1,2534800,806000
201804,125150,750552,1,3.34,"SW","GOVERNMENT CUT",25.73,-80.16,2543800,809600
201804,125150,750553,1,1.42,"ESE","GOVERNMENT CUT",25.76,-80.11,2545600,806600
201804,125150,750554,1,2.88,"N","BOCA RATON",26.3714,-80.0853,2622284,805118
201804,125151,750556,1,3.79,"E","PORT EVERGLADES",26.09,-80.07,265400,804200
201804,125151,750557,1,11.36,"E","PORT EVERGLADES",26.07,-79.95,264200,7957000
201804,125152,750558,1,4.63,"NW","KREAMER ISLAND",26.82,-80.78,2649200,8046800
201804,125153,750560,1,1.06,"S","SEMINOLE MANOR",26.5848,-80.0683,2635088,804098
201804,125154,750561,1,2.93,"SSE","JUPITER INLET",26.8932,-80.0562,2653592,803372
201804,125154,750562,1,.93,"NE","JUPITER INLET",26.94,-80.07,2656400,804200
201804,125154,750563,1,1.33,"SSE","JUPITER INLET",26.9116,-80.0734,2654696,804404
201804,125154,750564,1,9.71,"SSE","PORT OF PALM BEACH",26.6128,-80.0362,2636768,802172
201804,125154,750565,1,3.38,"ENE","PORT OF PALM BEACH",26.77,-80.02,2646200,801200
201804,125155,750570,1,2.78,"SW","CORAL SPGS",26.24,-80.25,2614400,8015000
201804,125155,750574,1,3.5,"WNW","CORAL SPGS",26.298,-80.267,2617880,8016020
201804,125155,750574,2,1.57,"NW","CORAL SPGS",26.286,-80.238,2617160,8014280
201804,123173,743959,1,1.09,"SSW","ALTO",32.3552,-91.8766,3221312,9152596
201804,123173,743959,2,2.17,"ESE","DEHLCO",32.3631,-91.7386,3221786,9144316
201804,123173,743960,1,.09,"SSE","ARCHIBALD",32.3489,-91.7791,3220934,9146746
201804,123173,743961,1,3.45,"S","DUNN",32.42,-91.58,3225200,9134800
201804,123173,743991,1,2.34,"W","CRIMEA",31.97,-91.39,3158200,9123400
201804,123174,738545,1,1.5,"NNE","NORTH CROSSETT",33.17,-91.94,3310200,9156400
201804,123174,738545,2,2.61,"ESE","PARKDALE",33.1121,-91.5059,336726,9130354
201804,123174,738546,1,4.49,"SSE","COSGROVE",33.24,-91.37,3314400,9122200
201804,123174,738546,2,1.77,"ESE","SUNNYSIDE",33.2876,-91.1533,3317256,919198
201804,123176,738554,1,1.11,"W","GREENVILLE",33.3991,-91.0691,3323946,914146
201804,123176,738554,2,1.78,"NE","GREENVILLE FAIRFLD A",33.4001,-91.0006,3324006,9136
201804,123176,738555,1,.58,"W","(GLH)GREENVILLE MUNI",33.48,-90.99,3328800,9059400
201804,123176,738556,1,1.15,"E","LELAND",33.4,-90.9,3324000,9054000
201804,123176,738557,1,.5,"NE","BOYLE",33.7056,-90.7245,3342336,9043470
201804,123176,738557,2,1.21,"SE","CLEVELAND",33.7387,-90.7141,3344322,9042846
201804,123176,738558,1,1.87,"WNW","RICHLAND",33.08,-90.53,334800,9031800
201804,123176,738559,1,.76,"SE","ITTA BENA",33.492,-90.3211,3329520,9019266
201804,123176,738560,1,3.21,"WNW","YAZOO CITY",32.87,-90.47,3252200,9028200
201804,123176,738561,1,.9,"SW","BENTON",32.82,-90.28,3249200,9016800
