County or equivalent,State or district,Rank,Population
Autauga County,Alabama,907,"55,514"
Baldwin County,Alabama,332,"1,90,790"
Barbour County,Alabama,1523,"27,201"
Bibb County,Alabama,1707,"22,597"
Blount County,Alabama,882,"57,826"
Bullock County,Alabama,2397,"10,474"
Butler County,Alabama,1825,"20,307"
Calhoun County,Alabama,518,"1,17,296"
Chambers County,Alabama,1327,"34,064"
Cherokee County,Alabama,1562,"26,021"
Chilton County,Alabama,1090,"43,819"
Choctaw County,Alabama,2206,"13,633"
Clarke County,Alabama,1601,"25,161"
Clay County,Alabama,2217,"13,435"
Cleburne County,Alabama,2122,"14,832"
Coffee County,Alabama,965,"51,252"
Colbert County,Alabama,918,"54,446"
Conecuh County,Alabama,2241,"12,981"
Coosa County,Alabama,2362,"10,966"
Covington County,Alabama,1225,"37,955"
Crenshaw County,Alabama,2169,"14,083"
Cullman County,Alabama,686,"80,440"
Dale County,Alabama,972,"50,444"
Dallas County,Alabama,1115,"42,864"
DeKalb County,Alabama,752,"71,080"
Elmore County,Alabama,685,"80,629"
Escambia County,Alabama,1223,"37,994"
Etowah County,Alabama,564,"1,04,392"
Fayette County,Alabama,1984,"16,983"
Franklin County,Alabama,1393,"31,761"
Geneva County,Alabama,1532,"26,931"
Greene County,Alabama,2529,"8,876"
Hale County,Alabama,2081,"15,388"
Henry County,Alabama,1964,"17,287"
Houston County,Alabama,566,"1,03,402"
Jackson County,Alabama,938,"53,019"
Jefferson County,Alabama,93,"6,60,009"
Lamar County,Alabama,2156,"14,259"
Lauderdale County,Alabama,625,"92,542"
Lawrence County,Alabama,1330,"33,838"
Lee County,Alabama,428,"1,47,257"
Limestone County,Alabama,648,"87,654"
Lowndes County,Alabama,2370,"10,857"
Macon County,Alabama,1812,"20,535"
Madison County,Alabama,192,"3,43,080"
Marengo County,Alabama,1821,"20,401"
Marion County,Alabama,1422,"30,327"
Marshall County,Alabama,612,"94,776"
Mobile County,Alabama,165,"4,13,936"
Monroe County,Alabama,1706,"22,602"
Montgomery County,Alabama,279,"2,30,149"
Morgan County,Alabama,506,"1,20,395"
Perry County,Alabama,2426,"10,181"
Pickens County,Alabama,1860,"19,405"
Pike County,Alabama,1349,"33,182"
Randolph County,Alabama,1701,"22,675"
Russell County,Alabama,883,"57,820"
St. Clair County,Alabama,661,"85,237"
Shelby County,Alabama,313,"2,00,941"
Sumter County,Alabama,2218,"13,427"
Talladega County,Alabama,678,"81,762"
Tallapoosa County,Alabama,1148,"41,168"
Tuscaloosa County,Alabama,321,"1,98,596"
Walker County,Alabama,795,"66,221"
Washington County,Alabama,1970,"17,109"
Wilcox County,Alabama,2333,"11,431"
Winston County,Alabama,1637,"24,108"
Aleutians East Borough,Alaska,2965,"3,161"
Aleutians West Census Area,Alaska,2800,"5,547"
"Anchorage, Municipality of",Alaska,220,"2,98,610"
Bethel Census Area,Alaska,1931,"17,746"
Bristol Bay Borough,Alaska,3109,991
Denali Borough,Alaska,3067,"1,875"
Dillingham Census Area,Alaska,2835,"5,034"
Fairbanks North Star Borough,Alaska,588,"1,00,272"
Haines Borough,Alaska,3006,"2,552"
Hoonah-Angoon Census Area,Alaska,3041,"2,129"
"Juneau, City and Borough",Alaska,1370,"32,556"
Kenai Peninsula Borough,Alaska,892,"56,900"
Ketchikan Gateway Borough,Alaska,2189,"13,779"
Kodiak Island Borough,Alaska,2159,"14,239"
Lake and Peninsula Borough,Alaska,3077,"1,654"
Matanuska-Susitna Borough,Alaska,616,"93,925"
Nome Census Area,Alaska,2449,"9,915"
North Slope Borough,Alaska,2460,"9,643"
Northwest Arctic Borough,Alaska,2614,"7,810"
Petersburg Census Area,Alaska,2918,"3,844"
Prince of Wales-Hyder Census Area,Alaska,2789,"5,751"
"Sitka, City and Borough of",Alaska,2515,"9,046"
"Skagway Borough, Municipality of",Alaska,3110,959
Southeast Fairbanks Census Area,Alaska,2669,"7,144"
Valdez-Cordova Census Area,Alaska,2458,"9,717"
Wade Hampton Census Area,Alaska,2615,"7,809"
"Wrangell, City and Borough of",Alaska,3014,"2,403"
"Yakutat, City and Borough of",Alaska,3132,668
Yukon-Koyukuk Census Area,Alaska,2785,"5,770"
Apache County,Arizona,743,"73,195"
Cochise County,Arizona,473,"1,32,088"
Coconino County,Arizona,457,"1,36,011"
Gila County,Arizona,936,"53,144"
Graham County,Arizona,1236,"37,416"
Greenlee County,Arizona,2534,"8,802"
La Paz County,Arizona,1826,"20,281"
Maricopa County,Arizona,4,"39,42,169"
Mohave County,Arizona,309,"2,03,334"
Navajo County,Arizona,555,"1,07,094"
Pima County,Arizona,42,"9,92,394"
Pinal County,Arizona,173,"3,87,365"
Santa Cruz County,Arizona,1022,"47,303"
Yavapai County,Arizona,296,"2,12,637"
Yuma County,Arizona,316,"2,00,022"
Arkansas County,Arkansas,1880,"18,892"
Ashley County,Arkansas,1752,"21,524"
Baxter County,Arkansas,1153,"41,048"
Benton County,Arkansas,278,"2,32,268"
Boone County,Arkansas,1238,"37,327"
Bradley County,Arkansas,2336,"11,397"
Calhoun County,Arkansas,2818,"5,307"
Carroll County,Arkansas,1508,"27,610"
Chicot County,Arkansas,2332,"11,433"
Clark County,Arkansas,1692,"22,936"
Clay County,Arkansas,2066,"15,684"
Cleburne County,Arkansas,1575,"25,808"
Cleveland County,Arkansas,2554,"8,627"
Columbia County,Arkansas,1625,"24,473"
Conway County,Arkansas,1768,"21,287"
Craighead County,Arkansas,590,"99,735"
Crawford County,Arkansas,840,"61,946"
Crittenden County,Arkansas,977,"50,021"
Cross County,Arkansas,1935,"17,683"
Dallas County,Arkansas,2600,"7,987"
Desha County,Arkansas,2271,"12,545"
