id,time,location,latitude,longitude,depth,magnitude,url
usp0007egm,1996-03-09 06:15:20.660,"Hawaii region, Hawaii",19.82,-155.543,33.1,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007egm
usp0007jra,1996-06-14 10:11:23.060,"Hawaii region, Hawaii",19.298,-155.193,33.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007jra
usp0007kff,1996-06-29 22:32:05.170,"Hawaii region, Hawaii",19.379,-155.457,33.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007kff
usp0007m7b,1996-07-18 17:39:52.120,"Hawaii region, Hawaii",19.9,-155.554,27.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007m7b
usp0007mgz,1996-07-23 23:47:31.690,"Hawaii region, Hawaii",18.912,-155.259,30.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mgz
usp0007mnj,1996-07-26 23:59:47.570,"Hawaii region, Hawaii",18.94,-155.269,23.5,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mnj
usp0007mr5,1996-07-28 04:39:04.100,"Hawaii region, Hawaii",18.922,-155.254,14.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mr5
usp0007msn,1996-07-28 22:44:47.060,"Hawaii region, Hawaii",18.939,-155.274,14.5,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007msn
usp0007mun,1996-07-30 01:59:17.700,"Hawaii region, Hawaii",18.933,-155.275,14.4,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mun
usp0007mz3,1996-08-01 07:28:43.030,"Hawaii region, Hawaii",18.922,-155.266,25.5,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mz3
usp0007mze,1996-08-01 12:14:27.490,"Hawaii region, Hawaii",18.93,-155.28,22.3,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mze
usp0007na4,1996-08-09 08:24:54.780,"Hawaii region, Hawaii",19.357,-155.064,4.3,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007na4
usp0007tfk,1996-11-24 02:39:24.340,"Hawaii region, Hawaii",19.336,-155.198,9.8,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007tfk
usp0007yxh,1997-03-16 14:19:01.110,"Hawaii region, Hawaii",19.364,-155.08,8.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007yxh
usp000845q,1997-06-30 15:47:39.500,"Hawaii region, Hawaii",19.358,-155.068,7.5,5.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000845q
usp0008681,1997-08-15 01:54:37.840,"Hawaii region, Hawaii",19.366,-155.143,10.0,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008681
usp00089ms,1997-10-26 13:36:02.980,"Hawaii region, Hawaii",19.304,-155.351,31.1,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp00089ms
usp0008f36,1998-01-28 06:01:43.010,"Hawaii region, Hawaii",19.418,-155.315,4.2,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008f36
usp0008grj,1998-03-01 04:03:49.560,"Hawaii region, Hawaii",19.541,-155.943,13.8,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008grj
usp0008mn9,1998-05-07 23:15:33.720,"Hawaii region, Hawaii",19.217,-155.51,8.6,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008mn9
usp0008mx5,1998-05-11 22:00:18.050,"Hawaii region, Hawaii",19.591,-156.427,38.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008mx5
usp0008qk2,1998-06-27 10:11:07.850,"Maui region, Hawaii",20.054,-156.308,51.9,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008qk2
usp0008rgm,1998-07-14 14:50:27.990,"Hawaii region, Hawaii",19.342,-155.13,7.5,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008rgm
usp0008vn5,1998-09-28 07:56:12.470,"Hawaii region, Hawaii",19.431,-155.232,0.7,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008vn5
usp0008vng,1998-09-28 11:59:49.950,"Hawaii region, Hawaii",19.429,-155.229,0.8,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008vng
usp0008vpt,1998-09-29 06:39:12.590,"Hawaii region, Hawaii",19.346,-155.127,9.5,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008vpt
usp0008w8b,1998-10-09 04:50:07.550,"Hawaii region, Hawaii",19.397,-155.241,27.8,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008w8b
usp0008ykr,1998-11-22 15:54:25.970,"Hawaii region, Hawaii",20.402,-155.99,33.2,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008ykr
usp00094rt,1999-03-18 22:01:33.230,"Hawaii region, Hawaii",19.319,-155.216,7.1,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp00094rt
usp00096ec,1999-04-17 00:56:25.000,"Hawaii region, Hawaii",19.248,-155.489,10.9,5.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp00096ec
usp00096h5,1999-04-18 11:06:50.510,"Maui region, Hawaii",20.773,-156.036,16.7,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp00096h5
usp00098tm,1999-05-26 16:01:29.270,"Hawaii region, Hawaii",19.411,-155.321,6.3,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp00098tm
usp00099mv,1999-06-10 13:22:21.750,"Hawaii region, Hawaii",18.994,-155.361,52.0,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp00099mv
usp0009d50,1999-08-17 00:05:26.560,"Hawaii region, Hawaii",19.275,-155.498,9.8,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009d50
usp0009dkn,1999-08-25 02:00:26.010,"Hawaii region, Hawaii",19.211,-155.456,6.8,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009dkn
usp0009gee,1999-10-22 20:38:44.000,"Hawaii region, Hawaii",19.23,-155.4,35.6,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009gee
usp0009ms5,2000-01-28 09:33:42.120,"Hawaii region, Hawaii",19.268,-155.476,11.3,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009ms5
