id,time,location,latitude,longitude,depth,magnitude,url
ci3248846,1996-01-07 14:32:53.020,"16km N of Ridgecrest, California",35.761,-117.646,3.236,5.17,https://earthquake.usgs.gov/earthquakes/eventpage/ci3248846
ci3249165,1996-01-08 08:57:11.000,"16km NNE of Ridgecrest, California",35.755,-117.62,1.17,4.16,https://earthquake.usgs.gov/earthquakes/eventpage/ci3249165
ci3249191,1996-01-08 10:52:28.880,"18km NNE of Ridgecrest, California",35.779,-117.636,1.986,4.36,https://earthquake.usgs.gov/earthquakes/eventpage/ci3249191
ci3249318,1996-01-08 10:53:39.340,"20km NNE of Ridgecrest, California",35.799,-117.632,1.549,4.24,https://earthquake.usgs.gov/earthquakes/eventpage/ci3249318
ci3249913,1996-01-11 08:46:34.560,"13km NE of Barstow, California",34.994,-116.943,6.051,4.19,https://earthquake.usgs.gov/earthquakes/eventpage/ci3249913
ci3252027,1996-01-26 13:06:02.860,"19km N of Ridgecrest, California",35.789,-117.664,3.913,4.18,https://earthquake.usgs.gov/earthquakes/eventpage/ci3252027
usp0007djg,1996-02-20 14:40:41.870,Gulf of California,27.552,-111.678,10.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007djg
usp0007e73,1996-03-01 11:49:14.670,"Baja California, Mexico",29.499,-113.627,10.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007e73
ci3257065,1996-03-05 10:21:07.690,"9km ESE of Ensenada, B.C., MX",31.8451667,-116.5323333,5.282,4.09,https://earthquake.usgs.gov/earthquakes/eventpage/ci3257065
usp0007ek0,1996-03-10 12:16:24.000,western Montana,44.773,-112.712,8.4,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007ek0
usp0007erf,1996-03-14 10:42:26.000,"Ontario-Quebec border region, Canada",45.99,-74.43,18.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007erf
usp0007ezf,1996-03-19 15:31:36.440,Gulf of California,25.006,-109.329,10.0,5.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007ezf
ci3258832,1996-03-20 05:03:09.300,"70km WSW of Alberto Oviedo Mota, B.C., MX",31.901,-115.807,4.726,4.41,https://earthquake.usgs.gov/earthquakes/eventpage/ci3258832
ci3258844,1996-03-20 07:37:59.760,"11km SSW of Valencia, California",34.362,-118.615,12.368,4.11,https://earthquake.usgs.gov/earthquakes/eventpage/ci3258844
nc30101001,1996-03-30 15:22:23.780,"Long Valley area, California",37.626,-118.8585,5.877,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc30101001
nc30101142,1996-03-30 23:15:18.500,"Long Valley area, California",37.628,-118.8663333,5.322,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc30101142
nc30101635,1996-04-02 01:50:07.620,"Long Valley area, California",37.6253333,-118.8606667,5.587,4.25,https://earthquake.usgs.gov/earthquakes/eventpage/nc30101635
nc30103999,1996-04-19 00:52:41.440,Central California,36.8853333,-121.6133333,5.345,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc30103999
ci3263467,1996-05-01 19:49:56.430,"10km NNE of Simi Valley, California",34.354,-118.703,13.796,4.09,https://earthquake.usgs.gov/earthquakes/eventpage/ci3263467
uw10389973,1996-05-03 04:04:22.670,"Puget Sound region, Washington",47.7608333,-121.876,3.825,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/uw10389973
nc30106749,1996-05-21 20:50:20.170,"San Francisco Bay area, California",37.3593333,-121.7223333,7.518,4.7,https://earthquake.usgs.gov/earthquakes/eventpage/nc30106749
nc30110544,1996-06-20 02:26:56.250,offshore Northern California,40.9931667,-124.9393333,1.628,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/nc30110544
ci3269766,1996-07-07 06:27:06.090,"86km ESE of Maneadero, B.C., MX",31.544,-115.676,5.925,4.35,https://earthquake.usgs.gov/earthquakes/eventpage/ci3269766
usp0007m5v,1996-07-17 15:18:37.610,Gulf of California,25.575,-109.526,10.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007m5v
usp0007m61,1996-07-17 17:22:48.800,Gulf of California,25.464,-109.672,10.0,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007m61
usp0007mjg,1996-07-24 18:11:14.620,"Baja California, Mexico",28.457,-113.202,10.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mjg
usp0007mvh,1996-07-30 16:05:25.310,"Baja California, Mexico",28.477,-113.134,10.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007mvh
usp0007n1t,1996-08-03 06:15:16.470,southern Idaho,44.517,-114.144,5.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007n1t
nc474828,1996-08-08 09:19:04.580,offshore Northern California,40.352,-124.751,7.133,4.7,https://earthquake.usgs.gov/earthquakes/eventpage/nc474828
ci3273970,1996-08-14 03:05:27.490,"18km SW of Ludlow, California",34.599,-116.28,4.779,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/ci3273970
nc477790,1996-08-30 02:12:28.690,offshore Northern California,40.5198333,-124.7713333,14.684,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc477790
ci3275544,1996-08-30 06:24:47.610,"18km W of Delta, B.C., MX",32.377,-115.379,5.997,4.05,https://earthquake.usgs.gov/earthquakes/eventpage/ci3275544
usp0007pcy,1996-09-03 17:01:54.210,Gulf of California,26.192,-110.524,10.0,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007pcy
usp0007qtt,1996-10-01 19:09:03.370,Gulf of California,26.475,-110.862,10.0,5.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007qtt
usp0007qtu,1996-10-01 20:20:44.070,Gulf of California,25.915,-110.892,10.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007qtu
ci7045809,1996-10-08 14:01:47.400,"66km NNE of Dixon Lane-Meadow Creek, California",37.942,-118.147,0.918,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci7045809
ci7046656,1996-10-17 08:00:32.780,"75km SW of Alberto Oviedo Mota, B.C., MX",31.736,-115.71,5.925,4.17,https://earthquake.usgs.gov/earthquakes/eventpage/ci7046656
usp0007rnx,1996-10-19 13:27:57.970,Wyoming,43.09,-106.056,5.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0007rnx
ci7046881,1996-10-20 00:17:33.390,"17km SW of Ludlow, California",34.604,-116.278,4.779,4.16,https://earthquake.usgs.gov/earthquakes/eventpage/ci7046881
ci7047275,1996-10-23 22:09:29.380,"11km WNW of Ojai, California",34.481,-119.353,13.484,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/ci7047275
ci7050391,1996-11-27 01:42:43.820,"16km NNE of Thousand Palms, California",33.953,-116.314,5.38,4.46,https://earthquake.usgs.gov/earthquakes/eventpage/ci7050391
ci7050470,1996-11-27 20:17:24.110,"27km E of Coso Junction, California",36.075,-117.65,-0.02,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/ci7050470
ci7051634,1996-12-02 23:33:11.900,"45km NNE of Spanish Springs, Nevada",40.038,-119.581,2.629,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci7051634
nc486680,1996-12-04 21:21:15.190,Northern California,38.7915,-122.7573333,2.041,4.34,https://earthquake.usgs.gov/earthquakes/eventpage/nc486680
nc487519,1996-12-12 18:35:49.830,Central California,38.662,-119.5626667,-1.619,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/nc487519
nc487645,1996-12-13 16:53:17.280,Central California,38.6628333,-119.5415,-1.814,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/nc487645
nc30124970,1997-01-02 22:36:09.270,Northern California,39.0165,-123.0623333,2.806,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc30124970
nc490946,1997-01-13 14:54:38.950,offshore Northern California,40.2875,-124.3906667,20.936,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc490946
nc492079,1997-01-22 07:17:16.810,offshore Northern California,40.2736667,-124.3791667,23.007,5.6,https://earthquake.usgs.gov/earthquakes/eventpage/nc492079
nc492088,1997-01-22 08:00:43.400,offshore Northern California,40.3321667,-124.6343333,22.657,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/nc492088
nc492691,1997-01-26 06:23:19.440,offshore Northern California,40.2813333,-124.3965,21.566,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc492691
nc494572,1997-02-10 23:26:28.880,Central California,37.565,-118.8605,7.515,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc494572
nc496064,1997-02-24 18:13:25.490,Central California,37.5698333,-118.8536667,7.35,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc496064
ci7062511,1997-03-18 15:24:47.720,"20km ENE of Barstow, California",34.971,-116.819,0.621,5.26,https://earthquake.usgs.gov/earthquakes/eventpage/ci7062511
nc498938,1997-03-22 11:31:49.340,Central California,36.8376667,-121.4091667,8.935,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc498938
nc500469,1997-04-05 05:57:19.840,offshore Northern California,40.535,-124.7973333,12.704,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc500469
nc30131473,1997-04-14 11:20:53.630,Central California,38.0721667,-118.7305,8.172,4.04,https://earthquake.usgs.gov/earthquakes/eventpage/nc30131473
usp00080r1,1997-04-17 14:39:38.250,Nevada,40.369,-116.177,5.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp00080r1
usp000819b,1997-04-26 01:49:35.200,Nevada,37.16,-115.937,5.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000819b
ci9008753,1997-04-26 10:37:30.670,"12km ESE of Piru, California",34.369,-118.67,15.892,5.07,https://earthquake.usgs.gov/earthquakes/eventpage/ci9008753
ci9008934,1997-04-27 11:09:28.380,"11km SW of Valencia, California",34.377,-118.649,14.622,4.92,https://earthquake.usgs.gov/earthquakes/eventpage/ci9008934
ci9009850,1997-05-06 19:12:53.760,"16km SSE of Bodfish, California",35.453,-118.431,4.97,4.49,https://earthquake.usgs.gov/earthquakes/eventpage/ci9009850
usp0008222,1997-05-10 16:58:44.940,Gulf of California,27.891,-111.768,10.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008222
usp00082c8,1997-05-16 01:23:19.830,Nevada,40.612,-114.986,5.0,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp00082c8
usp00082t1,1997-05-24 18:52:06.360,"Ontario-Quebec border region, Canada",45.978,-74.421,10.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp00082t1
usp00083qp,1997-06-19 11:21:51.180,"Baja California, Mexico",31.346,-115.64,10.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp00083qp
ci9013612,1997-06-20 04:35:40.520,"27km SE of San Clemente Is. (SE tip), California",32.681,-118.109,5.83,4.76,https://earthquake.usgs.gov/earthquakes/eventpage/ci9013612
ci9013626,1997-06-20 05:38:55.010,"25km SE of San Clemente Is. (SE tip), California",32.685,-118.137,5.83,4.18,https://earthquake.usgs.gov/earthquakes/eventpage/ci9013626
ci9013640,1997-06-20 08:04:13.620,"28km SE of San Clemente Is. (SE tip), California",32.626,-118.151,5.682,4.53,https://earthquake.usgs.gov/earthquakes/eventpage/ci9013640
uw10420133,1997-06-23 19:13:27.010,"Seattle-Tacoma urban area, Washington",47.5983333,-122.5703333,13.345,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/uw10420133
uw10424953,1997-06-24 14:23:13.140,Washington,48.3635,-119.8881667,10.234,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/uw10424953
usp00083x3,1997-06-24 14:40:59.210,"British Columbia, Canada",49.237,-123.621,3.3,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp00083x3
ci9014489,1997-06-28 21:45:25.100,"2km NNE of Muscoy, California",34.168,-117.336,8.892,4.18,https://earthquake.usgs.gov/earthquakes/eventpage/ci9014489
usp000847n,1997-07-02 00:03:23.050,"Baja California, Mexico",31.281,-115.472,6.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000847n
ci9014887,1997-07-03 17:49:37.580,"19km N of Ridgecrest, California",35.791,-117.638,3.934,4.25,https://earthquake.usgs.gov/earthquakes/eventpage/ci9014887
nc513930,1997-07-23 03:18:03.740,Northern California,40.9051667,-123.372,24.542,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc513930
ci9017527,1997-07-26 03:14:55.920,"16km N of Borrego Springs, California",33.398,-116.349,11.113,4.89,https://earthquake.usgs.gov/earthquakes/eventpage/ci9017527
usp00085fn,1997-07-28 10:08:53.050,Gulf of California,25.35,-109.642,10.0,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp00085fn
nc516026,1997-08-06 19:29:26.660,offshore Northern California,40.7491667,-124.45,21.018,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/nc516026
ci9020877,1997-08-21 16:11:24.500,"12km ENE of Hawthorne, Nevada",38.571,-118.503,7.629,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci9020877
