year,FIPS,Storm,Flood,Winter Weather,Tornado,Drought,Heat,Fire,Hurricane
1996,1001,6,2,3,0,0,1,0,0
1996,1003,18,2,0,0,0,0,0,0
1996,1005,1,0,2,0,0,1,0,0
1996,1007,5,2,4,0,0,1,0,0
1996,1009,17,0,4,0,0,1,0,0
1996,1011,0,0,3,0,0,1,0,0
1996,1013,2,0,0,0,0,0,0,0
1996,1015,4,0,5,0,0,3,0,0
1996,1017,4,1,4,0,0,1,0,0
1996,1019,2,1,4,0,0,1,0,0
1996,1021,9,1,4,1,0,1,0,0
1996,1023,9,0,0,0,0,0,0,0
1996,1025,10,1,0,4,0,0,0,0
1996,1027,5,0,4,0,0,1,0,0
1996,1029,1,0,4,1,0,1,0,0
1996,1031,6,0,0,1,0,0,0,0
1996,1033,8,0,4,0,0,4,0,0
1996,1035,4,0,0,0,0,0,0,0
1996,1037,1,0,4,2,0,1,0,0
1996,1039,4,0,0,0,0,0,0,0
1996,1041,5,0,0,1,0,0,0,0
1996,1043,17,1,4,0,0,1,0,0
1996,1045,3,0,0,0,0,0,0,0
1996,1047,7,0,3,2,0,1,0,0
1996,1049,12,1,5,0,0,1,0,0
1996,1051,11,1,3,3,0,1,0,0
1996,1053,4,0,0,0,0,0,0,0
1996,1055,8,0,4,0,0,1,0,0
1996,1057,7,0,5,0,0,1,0,0
1996,1059,10,0,5,0,0,1,0,0
1996,1061,1,0,0,0,0,0,0,0
1996,1063,4,0,4,0,0,1,0,0
1996,1065,1,0,4,0,0,1,0,0
1996,1067,2,0,0,0,0,0,0,0
1996,1069,3,0,0,0,0,0,0,0
1996,1071,11,0,5,1,0,1,0,0
1996,1073,26,6,5,1,0,3,0,0
1996,1075,12,0,6,0,0,1,0,0
1996,1077,17,3,4,0,0,1,0,0
1996,1079,12,1,5,0,0,1,0,0
1996,1081,14,0,3,0,0,1,0,0
1996,1083,21,1,5,0,0,1,0,0
1996,1085,2,0,3,1,0,1,0,0
1996,1087,4,0,3,0,0,1,0,0
1996,1089,25,1,7,0,0,6,0,0
1996,1091,2,0,2,0,0,1,0,0
1996,1093,14,0,5,0,0,1,0,0
1996,1095,12,0,5,1,0,1,0,0
1996,1097,19,1,0,1,0,0,0,0
1996,1099,9,1,0,2,0,0,0,0
1996,1101,17,0,7,5,0,3,0,0
1996,1103,14,1,5,0,0,1,0,0
1996,1105,1,0,3,1,0,1,0,0
1996,1107,10,0,5,1,0,1,0,0
1996,1109,2,0,3,0,0,1,0,0
1996,1111,6,0,4,0,0,1,0,0
1996,1113,5,0,3,0,0,1,0,0
1996,1115,8,0,4,0,0,1,0,0
1996,1117,9,1,4,0,0,1,0,0
1996,1119,8,0,4,0,0,1,0,0
1996,1121,6,2,4,0,0,1,0,0
1996,1123,4,0,4,4,0,1,0,0
1996,1125,17,2,7,0,0,6,0,0
1996,1127,9,0,5,0,0,1,0,0
1996,1129,12,0,0,2,0,0,0,0
1996,1131,3,1,0,0,0,0,0,0
1996,1133,16,0,5,2,0,1,0,0
1996,2013,0,0,0,0,0,0,0,0
1996,2016,0,0,0,0,0,0,0,0
1996,2020,0,0,0,0,0,0,0,0
1996,2050,0,0,0,0,0,0,0,0
1996,2060,0,0,0,0,0,0,0,0
1996,2068,0,0,0,0,0,0,0,0
1996,2070,0,0,0,0,0,0,0,0
1996,2090,0,0,0,0,0,0,0,0
1996,2100,26,1,1,0,2,11,0,0
1996,2110,26,1,1,0,2,11,0,0
1996,2122,0,0,0,0,0,0,0,0
1996,2130,0,0,0,0,0,0,0,0
1996,2150,0,0,0,0,0,0,0,0
1996,2164,0,0,0,0,0,0,0,0
1996,2170,0,0,0,0,0,0,0,0
1996,2180,0,0,0,0,0,0,0,0
1996,2185,0,0,0,0,0,0,0,0
1996,2188,0,0,0,0,0,0,0,0
1996,2201,0,0,0,0,0,0,0,0
1996,2220,146,0,7,0,0,14,0,0
1996,2232,0,0,0,0,0,0,0,0
1996,2240,0,0,0,0,0,0,0,0
1996,2261,0,0,0,0,0,0,0,0
1996,2270,0,0,0,0,0,0,0,0
1996,2280,0,0,0,0,0,0,0,0
1996,2282,0,0,0,0,0,0,0,0
1996,2290,0,0,0,0,0,0,0,0
1996,4001,14,1,4,0,0,0,1,0
1996,4003,7,9,0,0,0,0,0,0
1996,4005,12,5,12,0,0,0,5,0
1996,4007,4,2,1,1,0,0,1,0
1996,4009,1,0,0,0,0,0,0,0
1996,4011,1,0,0,0,0,0,0,0
1996,4012,3,2,0,0,0,0,0,0
1996,4013,80,6,0,0,0,0,0,0
1996,4015,9,3,0,4,0,0,0,0
1996,4017,7,1,6,2,0,0,1,0
1996,4019,32,20,0,1,0,0,0,0
1996,4021,11,2,0,0,0,0,0,0
1996,4023,8,0,0,0,0,0,0,0
1996,4025,19,4,0,1,0,0,1,0
1996,4027,8,1,0,0,0,0,0,0
1996,5001,12,0,0,0,0,0,0,0
1996,5003,5,0,1,0,0,0,0,0
1996,5005,19,0,1,1,0,0,0,0
1996,5007,22,5,3,0,0,0,0,0
1996,5009,21,0,1,0,0,0,0,0
1996,5011,13,0,0,0,0,0,0,0
1996,5013,11,0,0,1,0,0,0,0
1996,5015,6,2,3,0,0,0,0,0
1996,5017,7,1,1,0,0,0,0,0
1996,5019,16,1,0,1,0,0,0,0
1996,5021,5,0,0,0,0,0,0,0
1996,5023,20,0,1,0,0,0,0,0
1996,5025,11,0,0,0,0,0,0,0
1996,5027,13,0,0,0,0,0,0,0
1996,5029,28,0,0,0,0,0,0,0
1996,5031,8,0,0,0,0,0,0,0
1996,5033,17,4,2,2,0,0,0,0
1996,5035,6,0,0,0,0,0,0,0
1996,5037,4,0,0,0,0,0,0,0
1996,5039,20,0,0,1,0,0,0,0
1996,5041,10,0,0,0,0,0,0,0
1996,5043,10,0,0,0,0,0,0,0
1996,5045,28,0,0,0,0,0,0,0
1996,5047,11,1,1,1,0,0,0,0
1996,5049,17,0,1,0,0,0,0,0
1996,5051,22,2,0,1,0,0,0,0
1996,5053,12,0,0,0,0,0,0,0
1996,5055,5,0,0,0,0,0,0,0
1996,5057,7,2,0,0,1,0,0,0
1996,5059,10,1,0,1,0,0,0,0
1996,5061,14,1,0,0,1,0,0,0
1996,5063,15,0,1,1,0,0,0,0
1996,5065,16,0,1,3,0,0,0,0
1996,5067,14,0,0,0,0,0,0,0
1996,5069,30,0,0,0,0,0,0,0
1996,5071,18,1,1,1,0,0,0,0
1996,5073,10,0,0,0,1,0,0,0
1996,5075,6,0,0,2,0,0,0,0
1996,5077,2,0,0,0,0,0,0,0
1996,5079,7,0,0,0,0,0,0,0
1996,5081,14,0,0,0,1,0,0,0
1996,5083,5,1,1,0,0,0,0,0
1996,5085,11,1,0,0,0,0,0,0
1996,5087,32,4,3,1,0,0,0,0
1996,5089,18,0,1,2,0,0,0,0
1996,5091,12,0,1,1,1,0,0,0
1996,5093,13,0,0,0,0,0,0,0
1996,5095,5,0,0,0,0,0,0,0
1996,5097,10,1,0,0,0,0,0,0
1996,5099,5,0,1,1,0,0,0,0
1996,5101,13,0,1,0,0,0,0,0
1996,5103,22,0,0,0,0,0,0,0
1996,5105,17,0,0,0,0,0,0,0
1996,5107,1,0,0,1,0,0,0,0
1996,5109,11,1,0,0,0,0,0,0
1996,5111,10,0,0,1,0,0,0,0
1996,5113,15,1,1,0,0,0,0,0
1996,5115,32,0,1,0,0,0,0,0
1996,5117,12,0,0,0,0,0,0,0
1996,5119,37,3,0,1,0,0,0,0
1996,5121,9,0,0,0,0,0,0,0
1996,5123,7,0,0,1,0,0,0,0
1996,5125,22,2,0,3,0,0,0,0
1996,5127,10,1,1,0,0,0,0,0
1996,5129,15,0,1,0,0,0,0,0
1996,5131,23,4,1,2,0,0,0,0
1996,5133,6,0,0,0,1,0,0,0
1996,5135,22,0,1,1,0,0,0,0
1996,5137,13,0,1,1,0,0,0,0
1996,5139,9,1,0,1,0,0,0,0
1996,5141,24,0,1,0,0,0,0,0
1996,5143,18,6,3,0,0,0,0,0
1996,5145,32,0,0,0,0,0,0,0
1996,5147,12,0,0,0,0,0,0,0
1996,5149,28,1,1,0,0,0,0,0
1996,6001,2,2,0,0,0,0,0,0
1996,6003,3,0,11,0,0,0,0,0
1996,6005,4,3,9,0,0,0,0,0
1996,6007,3,1,8,0,0,0,0,0
1996,6009,2,2,8,0,0,0,1,0
1996,6011,2,1,2,0,0,0,0,0
