FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
1001,26788100.0,7.0,96.0,94588100.0,200.26062562853966,3,4
1003,54686000.0,29.0,57.0,318536000.0,674.4000423437252,4,5
1005,2594000.0,0.0,17.0,3444000.0,7.2915894775842895,1,4
1007,16973750.0,1.0,20.0,26973750.0,57.1084528661409,2,3
1009,33177500.0,1.0,59.0,45127500.0,95.54332292383422,2,4
1011,5939000.0,2.0,0.0,23939000.0,50.68332186524109,2,3
1013,5315500.0,2.0,7.0,23665500.0,50.10427142327847,2,4
1015,131719500.0,11.0,81.0,234769500.0,497.05075954057054,3,4
1017,8849000.0,4.0,6.0,45149000.0,95.58884242841263,2,3
1019,23633000.0,3.0,41.0,52683000.0,111.53972370719313,3,3
1021,4145000.0,12.0,6.0,112445000.0,238.06700894511192,3,4
1023,20430750.0,2.0,4.0,38630750.0,81.78849309267983,2,4
1025,7482500.0,4.0,17.0,44332500.0,93.86015984756258,2,4
1027,2806000.0,1.0,5.0,12056000.0,25.524797544063937,2,3
1029,4431100.0,0.0,1.0,4481100.0,9.487323347271476,1,3
1031,373185250.0,17.0,59.0,529135250.0,1120.2778806965543,4,5
1033,17061150.0,6.0,45.0,73311150.0,155.2133594452972,3,4
1035,5201500.0,1.0,3.0,14351500.0,30.38479860265707,2,4
1037,1748100.0,0.0,8.0,2148100.0,4.547927803948553,1,3
1039,34407500.0,5.0,3.0,79557500.0,168.43804583708254,3,4
1041,5874000.0,0.0,0.0,5874000.0,12.436352088074948,1,4
1043,37100600.0,5.0,37.0,83950600.0,177.7390567935214,3,5
1045,266176750.0,4.0,40.0,304176750.0,643.9988355475573,3,4
1047,32366000.0,4.0,68.0,71766000.0,151.94198909649077,3,4
1049,23262200.0,32.0,67.0,314612200.0,666.0926268988514,4,5
1051,65393900.0,16.0,68.0,212793900.0,450.52432117715557,3,4
1053,11303500.0,5.0,5.0,56553500.0,119.73429312443761,3,4
1055,25560500.0,1.0,88.0,38960500.0,82.48663526173715,2,4
1057,17027000.0,5.0,31.0,63577000.0,134.6043508177632,3,4
1059,54256700.0,29.0,4.0,315456700.0,667.8805906949664,4,3
1061,44734720.0,1.0,16.0,54534720.0,115.4601598475626,3,4
1063,23199300.0,4.0,6.0,59499300.0,125.97110040755834,3,4
1065,30709500.0,8.0,86.0,107009500.0,226.55904303181075,3,4
