FIPS,danger,bins_num,bins_labels
1001,337,2,Medium Risk
1003,467,3,High Risk
1005,213,2,Medium Risk
1007,221,2,Medium Risk
1009,445,3,High Risk
1011,153,2,Medium Risk
1013,142,1,Low Risk
1015,411,3,High Risk
1017,245,2,Medium Risk
1019,343,2,Medium Risk
1021,272,2,Medium Risk
1023,244,2,Medium Risk
1025,359,2,Medium Risk
1027,247,2,Medium Risk
1029,209,2,Medium Risk
1031,306,2,Medium Risk
1033,751,3,High Risk
1035,133,1,Low Risk
1037,174,2,Medium Risk
1039,280,2,Medium Risk
1041,145,1,Low Risk
1043,740,3,High Risk
1045,380,2,Medium Risk
1047,251,2,Medium Risk
1049,789,3,High Risk
1051,450,3,High Risk
1053,220,2,Medium Risk
1055,434,3,High Risk
1057,254,2,Medium Risk
1059,451,3,High Risk
1061,272,2,Medium Risk
1063,161,2,Medium Risk
1065,214,2,Medium Risk
1067,235,2,Medium Risk
1069,448,3,High Risk
1071,573,3,High Risk
1073,1034,3,High Risk
1075,430,3,High Risk
1077,1067,3,High Risk
1079,549,3,High Risk
1081,356,2,Medium Risk
1083,705,3,High Risk
1085,185,2,Medium Risk
1087,194,2,Medium Risk
1089,1485,4,Very High Risk
1091,204,2,Medium Risk
1093,411,3,High Risk
1095,759,3,High Risk
1097,619,3,High Risk
1099,197,2,Medium Risk
1101,446,3,High Risk
1103,708,3,High Risk
1105,167,2,Medium Risk
1107,262,2,Medium Risk
1109,184,2,Medium Risk
1111,324,2,Medium Risk
1113,264,2,Medium Risk
1115,371,2,Medium Risk
1117,558,3,High Risk
1119,260,2,Medium Risk
1121,431,3,High Risk
1123,360,2,Medium Risk
1125,675,3,High Risk
1127,465,3,High Risk
1129,229,2,Medium Risk
1131,98,1,Low Risk
1133,380,2,Medium Risk
2013,188,2,Medium Risk
2016,484,3,High Risk
2020,434,3,High Risk
2050,331,2,Medium Risk
2060,91,1,Low Risk
2068,555,3,High Risk
2070,91,1,Low Risk
2090,260,2,Medium Risk
2100,348,2,Medium Risk
2110,563,3,High Risk
2122,658,3,High Risk
2130,261,2,Medium Risk
2150,217,2,Medium Risk
2164,426,3,High Risk
2170,471,3,High Risk
2180,649,3,High Risk
2185,846,3,High Risk
2188,555,3,High Risk
2201,1,0,Very Low Risk
2220,745,3,High Risk
2232,23,0,Very Low Risk
2240,304,2,Medium Risk
2261,713,3,High Risk
2270,0,0,Very Low Risk
2280,1,0,Very Low Risk
2282,258,2,Medium Risk
2290,747,3,High Risk
4001,580,3,High Risk
4003,616,3,High Risk
4005,1274,4,Very High Risk
4007,396,2,Medium Risk
4009,315,2,Medium Risk
4011,148,2,Medium Risk
4012,159,2,Medium Risk
4013,1386,4,Very High Risk
4015,858,3,High Risk
4017,826,3,High Risk
4019,1344,4,Very High Risk
4021,631,3,High Risk
4023,276,2,Medium Risk
4025,770,3,High Risk
4027,165,2,Medium Risk
5001,355,2,Medium Risk
5003,352,2,Medium Risk
5005,524,3,High Risk
5007,738,3,High Risk
5009,438,3,High Risk
5011,284,2,Medium Risk
5013,272,2,Medium Risk
5015,354,2,Medium Risk
5017,353,2,Medium Risk
5019,513,3,High Risk
5021,297,2,Medium Risk
5023,352,2,Medium Risk
5025,275,2,Medium Risk
5027,310,2,Medium Risk
5029,470,3,High Risk
5031,471,3,High Risk
5033,628,3,High Risk
5035,281,2,Medium Risk
5037,216,2,Medium Risk
5039,339,2,Medium Risk
5041,236,2,Medium Risk
5043,347,2,Medium Risk
5045,619,3,High Risk
5047,589,3,High Risk
5049,330,2,Medium Risk
5051,617,3,High Risk
5053,334,2,Medium Risk
5055,314,2,Medium Risk
5057,336,2,Medium Risk
5059,520,3,High Risk
5061,389,2,Medium Risk
5063,490,3,High Risk
5065,387,2,Medium Risk
5067,425,3,High Risk
5069,506,3,High Risk
5071,464,3,High Risk
5073,264,2,Medium Risk
5075,321,2,Medium Risk
5077,147,1,Low Risk
5079,221,2,Medium Risk
5081,284,2,Medium Risk
5083,338,2,Medium Risk
5085,653,3,High Risk
5087,432,3,High Risk
5089,350,2,Medium Risk
5091,364,2,Medium Risk
5093,404,3,High Risk
5095,299,2,Medium Risk
5097,395,2,Medium Risk
5099,245,2,Medium Risk
5101,354,2,Medium Risk
5103,401,2,Medium Risk
5105,362,2,Medium Risk
5107,174,2,Medium Risk
5109,342,2,Medium Risk
5111,334,2,Medium Risk
5113,492,3,High Risk
5115,461,3,High Risk
5117,327,2,Medium Risk
5119,1263,4,Very High Risk
5121,317,2,Medium Risk
5123,231,2,Medium Risk
5125,645,3,High Risk
5127,326,2,Medium Risk
5129,341,2,Medium Risk
5131,749,3,High Risk
5133,309,2,Medium Risk
5135,377,2,Medium Risk
5137,291,2,Medium Risk
5139,378,2,Medium Risk
5141,400,2,Medium Risk
5143,653,3,High Risk
5145,719,3,High Risk
5147,459,3,High Risk
5149,488,3,High Risk
6001,338,2,Medium Risk
6003,983,3,High Risk
6005,636,3,High Risk
6007,343,2,Medium Risk
6009,505,3,High Risk
6011,211,2,Medium Risk
6013,286,2,Medium Risk
6015,40,0,Very Low Risk
6017,1329,4,Very High Risk
6019,455,3,High Risk
6021,177,2,Medium Risk
6023,173,2,Medium Risk
6025,165,2,Medium Risk
6027,591,3,High Risk
6029,524,3,High Risk
6031,123,1,Low Risk
6033,147,1,Low Risk
6035,574,3,High Risk
6037,844,3,High Risk
6039,137,1,Low Risk
6041,309,2,Medium Risk
6043,166,2,Medium Risk
6045,79,1,Low Risk
6047,136,1,Low Risk
6049,363,2,Medium Risk
6051,525,3,High Risk
6053,209,2,Medium Risk
6055,225,2,Medium Risk
6057,1195,4,Very High Risk
6059,489,3,High Risk
6061,1261,4,Very High Risk
6063,601,3,High Risk
6065,1423,4,Very High Risk
6067,283,2,Medium Risk
6069,75,1,Low Risk
6071,2037,4,Very High Risk
6073,1589,4,Very High Risk
